"PHYSICIAN ADMINISTRATION","A","-78948","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-1268676","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-260100","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-39660","MAMMOGRAPHY","54", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-20820","NUCLEAR MEDICINE","54", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-20340","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-663958","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-447924","LABORATORY","60", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-237396","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-18370","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-65153","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-25020","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-41383","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-19824","DIAGNOSTIC CLINICS","75", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-79583","SLEEP LAB","75", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-4000","OB GYN CLINIC","90", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-246540","EMERGENCY","91", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-71076","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-104772","HEART ACQUISITION","106", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-102132","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-56280","LUNG ACQUISITION","108", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-37500","HLA LAB","112", , , , , , , , , , , , , , , 
"PHYSICIAN ADMINISTRATION","A","-229253","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"ORGAN ACQUIS","A","-4352139","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"ORGAN ACQUIS","A","2652988","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"ORGAN ACQUIS","A","-904932","HEART ACQUISITION","106", , , , , , , , , , , , , , , 
"ORGAN ACQUIS","A","159236","LUNG ACQUISITION","108", , , , , , , , , , , , , , , 
"ORGAN ACQUIS","A","177390","PANCREAS ACQUISITION","109", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1110072","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1000","MAINTENANCE & REPAIRS","6", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-368459","DIETARY","10", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-23194","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-3681041","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-26580","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-83694","RADIOLOGY TECH SCHOOL","23", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-175943","PHARMACY PARAMEDICAL EDUC","23", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-62536","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-800","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-163","CORONARY CARE UNIT","32", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1450","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1120","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-20305","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-101","MAMMOGRAPHY","54", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-5","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-124","CT SCAN","57", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-7587","INTRAVENOUS THERAPY","64", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-33359","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-9432","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-300","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-772704","MEDICAL SUPPLIES CHARGED TO PATIENT","71", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-5386756","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-2800","CANCER CENTER CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-11110","CARDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-5200","NEUROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1200","OPTHALMOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-5000","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-800","OTOLARANGOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-2095","PEDIATRIC CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-18111","PRIMARY CARE CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1200","PULMONARY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-3150","SPORTS MEDICINE CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1200","SURGERY CLINIC","90", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-2400","EMERGENCY","91", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-1545","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"MISC REVENUE","B","-279519","HLA LAB","112", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-25","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-867522","LABORATORY","60", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-624937","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-2373355","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-68","DIAGNOSTIC CLINICS","75", , , , , , , , , , , , , , , 
"MISC OTHER PATIENT REVENUE","B","-6066","HLA LAB","112", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1882","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1936","DIETARY","10", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1222584","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-206545","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-204693","CORONARY CARE UNIT","32", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-8421","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-851190","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-54048","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-8187","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-42353","NURSERY","43", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-37634","SKILLED NURSING FACILITY","44", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-4701143","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1602","WOUND CARE","50", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1961727","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-437132","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1617140","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-688989","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-152431","ULTRASOUND","54", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-260927","MAMMOGRAPHY","54", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-150178","PET IMAGINING","54", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-79050","NUCLEAR MEDICINE","54", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-358105","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-894365","CT SCAN","57", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-855324","MRI","58", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1058251","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-3206200","LABORATORY","60", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-162640","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-2184948","INTRAVENOUS THERAPY","64", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-303773","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1253289","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-13701","SPEECH PATHOLOGY","68", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-25771","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-15203","ELECTROENCEPHALOGRAPHY","70", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-798699","MEDICAL SUPPLIES CHARGED TO PATIENT","71", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-832933","IMPL. DEV. CHARGED TO PATIENTS","72", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1022719","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-32592","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-147695","DIAGNOSTIC CLINICS","75", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-154341","PAIN MANAGEMENT","75", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-762271","ENDOSCOPY","75", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1099","NUTRITION THERAPY","75", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-144082","SLEEP LAB","75", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-117858","PARTIAL HOSP PROGRAM","76", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-41","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-374","AUDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-267","CANCER CENTER CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-395","CARDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-637","DERMATOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-43","GI CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-54","NEUROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1634","OB GYN CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1748","OPTHALMOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-502","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-481","OTOLARANGOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-5446","PEDIATRIC CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-3394","PRIMARY CARE CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-1461","PSYCHIATRY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-95","PULMONARY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-78","SPORTS MEDICINE CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-285","SURGERY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-35","TRANSPLANT - KIDNEY/PANCREAS","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-43","UROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-972739","EMERGENCY","91", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-11607","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-23212","PANCREAS ACQUISITION","109", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH","A","-41017","HLA LAB","112", , , , , , , , , , , , , , , 
"EMPLOYEE HEALTH CLINIC","A","-16165930","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"MISC EXP","A","-119301","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"MISC EXP","A","-139","MAINTENANCE & REPAIRS","6", , , , , , , , , , , , , , , 
"MISC EXP","A","-107","OPERATION OF PLANT","7", , , , , , , , , , , , , , , 
"MISC EXP","A","-2083","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"MISC EXP","A","-27345","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"MISC EXP","A","-2221","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"MISC EXP","A","-144","RADIOLOGY TECH SCHOOL","23", , , , , , , , , , , , , , , 
"MISC EXP","A","-6494","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"MISC EXP","A","-169","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"MISC EXP","A","-442","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"MISC EXP","A","-743","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"MISC EXP","A","-182","WOUND CARE","50", , , , , , , , , , , , , , , 
"MISC EXP","A","-114","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"MISC EXP","A","-239","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"MISC EXP","A","-1095","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"MISC EXP","A","-716","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"MISC EXP","A","-254","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"MISC EXP","A","-554","LABORATORY","60", , , , , , , , , , , , , , , 
"MISC EXP","A","-60","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"MISC EXP","A","-1018","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"MISC EXP","A","-194","ENDOSCOPY","75", , , , , , , , , , , , , , , 
"MISC EXP","A","-781","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"MISC EXP","A","-328","CANCER CENTER CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-167","NEUROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-58","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-92","PEDIATRIC CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-442","PRIMARY CARE CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-1041","SURGERY CLINIC","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-320","TRANSPLANT - HEART","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-393","TRANSPLANT - KIDNEY/PANCREAS","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-1589","TRANSPLANT - MED SUPPORT","90", , , , , , , , , , , , , , , 
"MISC EXP","A","-3111","EMERGENCY","91", , , , , , , , , , , , , , , 
"MISC EXP","A","-229","HLA LAB","112", , , , , , , , , , , , , , , 
"MISC EXP","A","-2344","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"MISC EXP","A","-232","NON ALLOWABLE THERAPY","194", , , , , , , , , , , , , , , 
"MISC EXP","A","-280268","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"MISC EXP","A","-159284","BOARD DESIGNATED/RESTRICT","194", , , , , , , , , , , , , , , 
"DEBITEK MEETING EXPENSE","A","-9567","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-2667","DIETARY","10", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-3394","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-1472","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-225","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-290","GI CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-290","TRANSPLANT - LIVER","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-39","NON ALLOW OH","194", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-5557","OCHSNER CLINIC","194", , , , , , , , , , , , , , , 
"NON ALLOWABLE ALCOHOL","A","-446","BOARD DESIGNATED/RESTRICT","194", , , , , , , , , , , , , , , 
"INTEREST INCOME","B","-2359295","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"INTEREST INCOME","B","-510546","CAP REL COSTS-MVBLE EQUIP","2","11", , , , , , , , , , , , , , 
"INTEREST INCOME","B","-2233419","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"INTEREST EXPENSE","A","-60355","CAP REL COSTS-MVBLE EQUIP","2","11", , , , , , , , , , , , , , 
"INTEREST EXPENSE","A","-261058","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"INTEREST EXPENSE - BATON ROUGE","A","-210044","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"WESTBANK BASIS ADJUSTMENT - BUILDING","A","862028","CAP REL COSTS-BLDG & FIXT","1","9", , , , , , , , , , , , , , 
"WESTBANK BASIS ADJUSTMENT - EQUIPMEN","A","432719","CAP REL COSTS-MVBLE EQUIP","2","9", , , , , , , , , , , , , , 
"INTEREST EXPENSE- NMTC","A","-73522","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"NON ALLOWABLE CLINIC INTEREST","A","-223666","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"CAPITALIZED INTEREST","A","-1336526","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"LOSS ON DEFEASANCE","A","1886477","CAP REL COSTS-BLDG & FIXT","1","11", , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","1917744","OTHER ADMIN + GENERAL","5", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-61696","MAINTENANCE & REPAIRS","6", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-51533","LAUNDRY & LINEN SERVICE","8", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-10742","HOUSEKEEPING","9", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-598347","DIETARY","10", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-75967","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-44630","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-31771","I&R SERVICES-SALARY & FRINGES APPRV","21", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-9360","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-27557","CLINICAL PASTORAL ED","23", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-10037","RESPIRATORY TECH SCHOOL","23", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-3490206","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-689008","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-640080","CORONARY CARE UNIT","32", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-258349","PEDIATRIC INTENSIVE CAR","35", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-341394","NEONATAL INTENSIVE CARE UNIT","35", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-161612","SUBPROVIDER - IRF","41", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-211817","SKILLED NURSING FACILITY","44", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-2122114","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-133054","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-300307","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-151919","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-615345","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-161863","ULTRASOUND","54", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-77073","MAMMOGRAPHY","54", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-110067","NUCLEAR MEDICINE","54", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-350990","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-127736","CT SCAN","57", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-154042","MRI","58", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-511868","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-702315","LABORATORY","60", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-76606","BLOOD STORING  PROCESSING & TRANS.","63", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-402264","INTRAVENOUS THERAPY","64", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-51518","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-365978","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-472031","ELECTROCARDIOLOGY","69", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-202512","MEDICAL SUPPLIES CHARGED TO PATIENT","71", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-238238","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-221153","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-53720","DIAGNOSTIC CLINICS","75", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-212832","ENDOSCOPY","75", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-18400","NUTRITION THERAPY","75", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-165642","SLEEP LAB","75", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-14372","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-24808","AUDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-492854","CANCER CENTER CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-481462","CARDIOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-87669","DERMATOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-160274","GI CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-183237","NEUROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-620807","OB GYN CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-333773","OPTHALMOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-323959","ORTHOPEDIC CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-101175","OTOLARANGOLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-223450","PEDIATRIC CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-58995","PHYS MED & REHAB CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-50463","PODIATRY","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-1479763","PRIMARY CARE CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-776","PSYCHIATRY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-69743","PULMONARY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-94332","SPORTS MEDICINE CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-325902","SURGERY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-48673","TRANSPLANT - HEART","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-57281","TRANSPLANT - LIVER","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-24406","TRANSPLANT - KIDNEY/PANCREAS","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-46440","TRANSPLANT - BONE MARROW","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-138209","UROLOGY CLINIC","90", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-584650","EMERGENCY","91", , , , , , , , , , , , , , , 
"NON ALLOWABLE RENT","A","-3556","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
