"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000E0[00000])","Entity[572875] Report(A6000E0[00100])", ,"Entity[572875] Report(A6000E0[00300])", ,"Entity[572875] Report(A6000E0[00500])", ,"Entity[572875] Report(A6000E0[00700])", ,"Entity[572875] Report(A6000E0[00900])", , , , , , , , , , 
"MALPRACTICE","E", ,"4", ,"34969", ,"21", ,"9928", , , , , , , , , , 
"MALPRACTICE","E", , , , , ,"53", ,"1040", , , , , , , , , , 
"MALPRACTICE","E", , , , , ,"90", ,"24001", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000F0[00000])","Entity[572875] Report(A6000F0[00100])", ,"Entity[572875] Report(A6000F0[00300])", ,"Entity[572875] Report(A6000F0[00500])", ,"Entity[572875] Report(A6000F0[00700])", ,"Entity[572875] Report(A6000F0[00900])", , , , , , , , , , 
"GENERAL LIABILITY","F", ,"5", ,"145", ,"4", ,"198750", , , , , , , , , , 
"GENERAL LIABILITY","F", ,"5", ,"745", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"5", ,"2759", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"5", ,"5025", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"5", ,"6721", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"6", ,"3846", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"6", ,"1848", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"6", ,"202", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"7", ,"117", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"8", ,"160", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"9", ,"3362", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"10", ,"3841", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"13", ,"3028", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"14", ,"1490", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"14", ,"223", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"14", ,"216", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"15", ,"4613", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"16", ,"1257", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"17", ,"1240", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"18", ,"1127", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"21", ,"17568", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"30", ,"32761", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"31", ,"2238", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"32", ,"1369", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"33", ,"119", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"34", ,"1620", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"35", ,"5017", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"35", ,"2464", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"40", ,"1095", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"43", ,"1021", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"50", ,"15194", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"51", ,"3604", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"52", ,"2057", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"53", ,"3044", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"54", ,"8375", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"55", ,"3651", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"55", ,"1290", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"57", ,"1047", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"58", ,"1241", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"59", ,"990", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"60", ,"6737", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"60", ,"129", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"63", ,"1329", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"65", ,"1658", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"66", ,"3419", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"70", ,"77", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"69", ,"1310", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"70", ,"879", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"71", ,"103", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"74", ,"799", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"76", ,"1266", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"77", ,"171", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"90", ,"22789", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"91", ,"5655", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"92", ,"333", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"94", ,"168", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"105", ,"921", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"106", ,"96", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"107", ,"230", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"108", ,"74", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"109", ,"20", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"110", ,"19", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"112", ,"186", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"190", ,"1148", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"191", ,"1046", , , , , , , , , , , , , , 
"GENERAL LIABILITY","F", ,"191", ,"458", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000G0[00000])","Entity[572875] Report(A6000G0[00100])", ,"Entity[572875] Report(A6000G0[00300])", ,"Entity[572875] Report(A6000G0[00500])", ,"Entity[572875] Report(A6000G0[00700])", ,"Entity[572875] Report(A6000G0[00900])", , , , , , , , , , 
"MALPRACTICE TO RESIDENTS & FELLOWS","G", ,"21", ,"3669465", ,"4", ,"3669465", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000H0[00000])","Entity[572875] Report(A6000H0[00100])", ,"Entity[572875] Report(A6000H0[00300])", ,"Entity[572875] Report(A6000H0[00500])", ,"Entity[572875] Report(A6000H0[00700])", ,"Entity[572875] Report(A6000H0[00900])", , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"5", ,"13185", ,"4", ,"7634407", , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"5", ,"14890", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"5", ,"328951", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"5", ,"491552", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"13", ,"498", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"14", ,"5086", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"16", ,"1615", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"17", ,"4915", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"18", ,"3261", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"21", ,"2149446", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"30", ,"71247", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"35", ,"3770", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"50", ,"108578", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"52", ,"102615", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"53", ,"136192", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"54", ,"96617", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"55", ,"186484", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"55", ,"117171", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"58", ,"33087", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"59", ,"12560", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"60", ,"246835", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"63", ,"6485", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"66", ,"1208", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"70", ,"6956", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"74", ,"25165", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"76", ,"142678", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"77", ,"2226", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"90", ,"3031586", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"91", ,"14128", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"94", ,"3826", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"105", ,"151776", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"106", ,"5969", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"112", ,"16027", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"190", ,"30996", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"191", ,"66449", , , , , , , , , , , , , , 
"MD/PHD MALPRACTICE","H", ,"191", ,"377", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000I0[00000])","Entity[572875] Report(A6000I0[00100])", ,"Entity[572875] Report(A6000I0[00300])", ,"Entity[572875] Report(A6000I0[00500])", ,"Entity[572875] Report(A6000I0[00700])", ,"Entity[572875] Report(A6000I0[00900])", , , , , , , , , , 
"OTHER PROFESSIONAL MALPRACTICE","I", ,"5", ,"686002", ,"4", ,"686002", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000J0[00000])","Entity[572875] Report(A6000J0[00100])", ,"Entity[572875] Report(A6000J0[00300])", ,"Entity[572875] Report(A6000J0[00500])", ,"Entity[572875] Report(A6000J0[00700])", ,"Entity[572875] Report(A6000J0[00900])", , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"1032524", ,"7", ,"25436040", , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"4478803", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"469002", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"775325", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"2653436", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"1203966", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"3651225", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"410958", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"1289684", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"2576976", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"386837", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"2523198", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"472123", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"997864", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"2321275", , , , , , , , , , , , , , 
"BLDG UTILITIES (INTERNAL METERS)","J", ,"7", ,"192844", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000K0[00000])","Entity[572875] Report(A6000K0[00100])", ,"Entity[572875] Report(A6000K0[00300])", ,"Entity[572875] Report(A6000K0[00500])", ,"Entity[572875] Report(A6000K0[00700])", ,"Entity[572875] Report(A6000K0[00900])", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"194729", ,"5", ,"380385", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"867485", ,"6", ,"102783", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"3384081", ,"6", ,"135866", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"667182", ,"6", ,"867485", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"7497523", ,"7", ,"246661", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", ,"7", ,"154715", ,"90", ,"286797", , , , , , , , , , 
"METERED EXPENSE TO BLDG","K", , , , , ,"191", ,"10745738", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000L0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000L0[00000])","Entity[572875] Report(A6000L0[00100])", ,"Entity[572875] Report(A6000L0[00300])", ,"Entity[572875] Report(A6000L0[00500])", ,"Entity[572875] Report(A6000L0[00700])", ,"Entity[572875] Report(A6000L0[00900])", , , , , , , , , , 
"UTILITIES TO OP OF PLANT","L", ,"7", ,"10185608", ,"5", ,"3904741", , , , , , , , , , 
"UTILITIES TO OP OF PLANT","L", , , , , ,"6", ,"4571259", , , , , , , , , , 
"UTILITIES TO OP OF PLANT","L", , , , , ,"55", ,"699834", , , , , , , , , , 
"UTILITIES TO OP OF PLANT","L", , , , , ,"190", ,"174615", , , , , , , , , , 
"UTILITIES TO OP OF PLANT","L", , , , , ,"191", ,"835159", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000M0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000M0[00000])","Entity[572875] Report(A6000M0[00100])", ,"Entity[572875] Report(A6000M0[00300])", ,"Entity[572875] Report(A6000M0[00500])", ,"Entity[572875] Report(A6000M0[00700])", ,"Entity[572875] Report(A6000M0[00900])", , , , , , , , , , 
