"Line(04834)","MISCELLANEOUS INCOME","B","499","CARDIO - PULMONARY REHAB","69"
"Line(04835)","MISCELLANEOUS INCOME","B","-2440","DRUGS CHARGED TO PATIENTS","73"
"Line(04836)","MISCELLANEOUS INCOME","B","-3510","CLINICAL GI LAB","76"
"Line(04837)","MISCELLANEOUS INCOME","B","-47025","CLINIC","90"
"Line(04838)","MISCELLANEOUS INCOME","B","-26145","HIV OUTPATIENT","90"
"Line(04839)","MISCELLANEOUS INCOME","B","-231269","THEISS HEALTH CENTER","90"
"Line(04840)","MISCELLANEOUS INCOME","B","-157367","HILLMAN CANCER CENTER","90"
"Line(04841)","MISCELLANEOUS INCOME","B","-25920","HBC CLINICS","90"
"Line(04842)","MISCELLANEOUS INCOME","B","-2300","EMERGENCY","91"
"Line(04843)","MISCELLANEOUS INCOME","B","-1673","LIVER ACQUISITION","107"
"Line(04844)","MISCELLANEOUS INCOME","B","-50000","LUNG ACQUISITION","108"
"Line(04845)","CONTRACT REVENUE","B","-438500","OTHER ADMIN AND GENERAL","5"
"Line(04846)","CONTRACT REVENUE","B","-1418808","MAINTENANCE & REPAIRS","6"
"Line(04847)","CONTRACT REVENUE","B","-1488","OPERATION OF PLANT - SHY","7"
"Line(04848)","CONTRACT REVENUE","B","-187931","SHY - HOUSEKEEPING","9"
"Line(04849)","CONTRACT REVENUE","B","-636180","LABORATORY","60"
"Line(04850)","RENTAL OF HOSPITAL SPACE","B","-358766","OTHER ADMIN AND GENERAL","5"
"Line(04851)","RENTAL OF HOSPITAL SPACE","B","-232396","MAINTENANCE & REPAIRS","6"
"Line(04852)","RENTAL OF HOSPITAL SPACE","B","-451887","OPERATION OF PLANT","7"
"Line(04853)","RENTAL OF HOSPITAL SPACE","B","-35610","NURSING ADMINISTRATION","13"
"Line(04854)","RENTAL OF HOSPITAL SPACE","B","-166100","PAIN CENTER","53"
"Line(04855)","RENTAL OF HOSPITAL SPACE","B","-436","RADIOLOGY - WEST MIFFLIN","54"
"Line(04856)","RENTAL OF HOSPITAL SPACE","B","-21367","HEART CATHERIZATION","69"
"Line(04857)","RENTAL OF HOSPITAL SPACE","B","-38116","CLINIC","90"
"Line(04858)","BST RENT","A","-808800","OTHER ADMIN AND GENERAL","5"
"Line(04859)","PREMIUM TAX","A","-41940575","ADMITTING & COLLECTIONS","5"
"Line(04860)","VENDING REVENUE","B","-977","OTHER ADMIN AND GENERAL","5"
"Line(04861)","VENDING REVENUE","B","-177129","DIETARY","10"
"Line(04862)","VENDING REVENUE","B","-3497","NURSING SCHOOL","20"
"Line(04863)","REDUCE MUH LEASE TO COST","A","-443724","OTHER ADMIN AND GENERAL","5"
"Line(04864)","REDUCE MUH LEASE TO COST","A","409213","CAP REL COSTS - MUH","1","9"
"Line(04865)","PENSION EXPENSE","A","15643705","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04866)","ADJUST LSK MOB RENT TO COST","A","-79909","CLINICAL SUPPORT","18"
"Line(04867)","ADJUST LSK MOB RENT TO COST","A","-37860","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04868)","ADJUST LSK MOB RENT TO COST","A","-51059","FALK CLINIC","90"
"Line(04869)","ADJUST LSK MOB RENT TO COST","A","-20429","LIVER ACQUISITION","107"
"Line(04870)","ADJUST LSK MOB RENT TO COST","A","-13846","OTHER ORGAN ACQUISITION (SPECIFY)","112"
"Line(04871)","ADJUST LSK MOB RENT TO COST","A","-609877","PHYSICIANS PRIVATE OFFICES","192"
"Line(04872)","AMBULANCE SERVICE","A","-3202308","AMBULANCE SERVICES","95"
"Line(04873)","PUH - COLLECTION FEES","A","2665588","ADMITTING & COLLECTIONS","5"
"Line(04874)","MARKETING AND PUBLIC RELATIONS","A","-15076","OTHER ADMIN AND GENERAL","5"
"Line(04875)","MARKETING AND PUBLIC RELATIONS","A","-110","TRAUMA SERVICES","13"
"Line(04876)","MARKETING AND PUBLIC RELATIONS","A","-768","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04877)","MARKETING AND PUBLIC RELATIONS","A","-473","PARAMED ED PHARMACY","23"
"Line(04878)","MARKETING AND PUBLIC RELATIONS","A","-4689","RADIOLOGY-THERAPEUTIC","55"
"Line(04879)","MARKETING AND PUBLIC RELATIONS","A","-175","KAUFMANN CLINIC","90"
"Line(04880)","MARKETING AND PUBLIC RELATIONS","A","-3007","HILLMAN CANCER CENTER","90"
"Line(04881)","MARKETING AND PUBLIC RELATIONS","A","275","HBC CLINICS","90"
"Line(04882)","TUITION FOR SPOUSE AND DEPENDAN","A","-1036288","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04883)","DEPRECIATION EXPENSE","A","24230","CAP REL COSTS - SHY","1","9"
"Line(04884)","INVESTMENTS FEES","A","-54795","OTHER ADMIN AND GENERAL","5"
"Line(04885)","NEW CAPITAL BLDG","A","1732","CAP REL COSTS-BLDG & FIXT","1","9"
"Line(04886)","NON-ALLOWABLE DUES","A","-1173","OTHER ADMIN AND GENERAL","5"
"Line(04887)","PHYSICIAN INVESTMENT - UPP","A","-17475657","OTHER ADMIN AND GENERAL","5"
"Line(04888)","PHYSICIANS INVESTMNT - UPP","A","3409036","LAB INFORMATION","16"
"Line(04889)","PHYSICIANS INVESTMNT - UPP","A","-12942911","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04890)","PHYSICIANS INVESTMNT - UPP","A","-250109","SUBPROVIDER - IRF","41"
"Line(04891)","PHYSICIANS INVESTMNT - UPP","A","9187991","ANESTHESIOLOGY","53"
"Line(04892)","PHYSICIANS INVESTMNT - UPP","A","-56711","RADIOLOGY-THERAPEUTIC","55"
"Line(04893)","PHYSICIANS INVESTMNT - UPP","A","-580975","UPP FAMILY PRACTICE","90"
"Line(04894)","PHYSICIANS INVESTMNT - UPP","A","3725993","EMERGENCY","91"
"Line(04895)","PHYSICIANS INVESTMNT - UPP","A","2781039","RESEARCH","191"
"Line(04896)","PHYSICIANS INVESTMNT - UPP","A","-978385","OTHER NON REIMBURSABLE","194"
"Line(04897)","PHYSICIANS INVESTMNT - UPP","A","-32416667","OTHER ADMIN AND GENERAL","5"
"Line(04898)","PHYSICIAN INVEST-ONCOL","A","-16628730","OTHER ADMIN AND GENERAL","5"
"Line(04899)","PHYSICIAN INVEST-SFHC0","A","770264","OTHER NON REIMBURSABLE","194"
"Line(04900)","1992 ASSET ADDITION CARRYFORWAR","A","34709","CAP REL COSTS-MVBLE EQUIP","2","9"
"Line(04901)","NON ALLOWABLE SPF","A","-3834937","OTHER ADMIN AND GENERAL","5"
"Line(04902)","NON ALLOWABLE SPF","A","-2858","NURSING ADMINISTRATION","13"
"Line(04903)","NON ALLOWABLE SPF","A","-2000","NURSING SCHOOL","20"
"Line(04904)","NON ALLOWABLE SPF","A","-658956","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04905)","NON ALLOWABLE SPF","A","-244329","ADULTS & PEDIATRICS","30"
"Line(04906)","NON ALLOWABLE SPF","A","-782","RADIOLOGY-DIAGNOSTIC","54"
"Line(04907)","NURSING SCHOOL TUITION","B","-4636920","NURSING SCHOOL","20"
"Line(04908)","ALCOHOLIC BEVERAGES","A","-15397","OTHER ADMIN AND GENERAL","5"
"Line(04909)","ALCOHOLIC BEVERAGES","A","-89","OPERATION OF PLANT","7"
"Line(04910)","ALCOHOLIC BEVERAGES","A","-2399","DIETARY","10"
"Line(04911)","ALCOHOLIC BEVERAGES","A","-234","NURSING ADMINISTRATION","13"
"Line(04912)","ALCOHOLIC BEVERAGES","A","-21","PHARMACY","15"
"Line(04913)","ALCOHOLIC BEVERAGES","A","-64","MEDICAL RECORDS & LIBRARY","16"
"Line(04914)","ALCOHOLIC BEVERAGES","A","-1076","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04915)","ALCOHOLIC BEVERAGES","A","-24","ADULTS & PEDIATRICS","30"
"Line(04916)","ALCOHOLIC BEVERAGES","A","-40","ELECTROCARDIOLOGY","69"
"Line(04917)","ALCOHOLIC BEVERAGES","A","-246","ECHO CARDIOLOGY LAB","69"
"Line(04918)","ADVERTISING","A","-1354","OTHER ADMIN AND GENERAL","5"
"Line(04919)","ADVERTISING","A","-174","SOCIAL SERVICE","17"
"Line(04920)","ADVERTISING","A","-2207","RADIOLOGY-THERAPEUTIC","55"
"Line(04921)","ADVERTISING","A","-674","DRUGS CHARGED TO PATIENTS","73"
"Line(04922)","SENIOR CARE INSTITUTE-NON ALLOW","A","-331185","CLINIC","90"
"Line(04923)","MOONLIGHT RESIDENTS FEES-PUH","A","-3404236","I&R SERVICES-SALARY & FRINGES APPRV","21"
"Line(04924)","MOONLIGHT RESIDENTS FEES-WPIC","A","-1199161","I & R SERVICES  SALARY WPIC","21"
"Line(04925)","MOONLIGHT RESIDENTS FICA-PUH","A","-260424","I&R SERVICES-SALARY & FRINGES APPRV","21"
"Line(04926)","MOONLIGHT RESIDENTS FICA-WPIC","A","-79514","I & R SERVICES  SALARY WPIC","21"
"Line(04928)","PRE-TRANSPLANT PHYSICIANS","A","-142910","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04929)","PRE-TRANSPLANT EXPENSE - HEART","A","84849","HEART ACQUISITION","106"
"Line(04930)","PRE-TRANSPLANT EXPENSE - LUNG","A","157030","LUNG ACQUISITION","108"
"Line(04931)","PRE-TRANSPLANT EXPENSE - LIVER","A","62267","LIVER ACQUISITION","107"
"Line(04932)","PRE-TRANSPLANT EXPENSE - KIDNEY","A","182741","KIDNEY ACQUISITION","105"
"Line(04933)","PRE-TRANSPLANT EXPENSE - PANCRE","A","46802","PANCREAS ACQUISITION","109"
"Line(04934)","PRE-TRANSPLANT EXPENSE - SMALL","A","73967","INTESTINAL ACQUISITION","110"
"Line(04935)","FRINGE BENEFITS UPP - HEART","A","22595","HEART ACQUISITION","106"
"Line(04936)","FRINGE BENEFITS UPP - LUNG","A","41817","LUNG ACQUISITION","108"
"Line(04937)","FRINGE BENEFITS UPP - LIVER","A","16582","LIVER ACQUISITION","107"
"Line(04938)","FRINGE BENEFITS UPP - KIDNEY","A","48664","KIDNEY ACQUISITION","105"
"Line(04939)","FRINGE BENEFITS UPP - PANCREAS","A","12463","PANCREAS ACQUISITION","109"
"Line(04940)","FRINGE BENEFITS UPP - SMALL BOW","A","19697","INTESTINAL ACQUISITION","110"
"Line(04941)","PARKING REVENUE EMPLOYEES-BELLE","B","-87217","OPERATION OF PLANT - WPIC","7"
"Line(04942)","PARKING REVENUE EMPLOYEES - CHA","B","-1330","OPERATION OF PLANT - WPIC","7"
"Line(04943)","PARKING REVENUE EMPLOYEES - OXF","B","-138561","OPERATION OF PLANT - WPIC","7"
"Line(04944)","PARKING REVENUE EMPLOYEES - WPI","B","-251387","OPERATION OF PLANT - WPIC","7"
"Line(04945)","PARKING REVENUE EMPLOYEES - CRI","B","-2025","OPERATION OF PLANT - WPIC","7"
"Line(04946)","CAFETERIA REVENUE","B","-127379","CAFETERIA - WPIC","11"
"Line(04947)","HOME BASED TRAINING","A","272999","OTHER ADMIN AND GENERAL","5"
"Line(04948)","CENTER FOR YOUTH AT RI","A","393056","OTHER ADMIN AND GENERAL","5"
"Line(04949)","VENDING REVENUE","B","-24321","OTHER ADMIN AND GENERAL","5"
"Line(04950)","PATIENT TESTING SERVICES (PUH)","A","-96824","LABORATORY","60"
"Line(04951)","PATIENT TESTING SERVICES (PUH)","A","-329627","WPIC-INTERNAL MEDICINE","69"
"Line(04952)","PATIENT TESTING SERVICES (PUH)","A","-12000","ELECTROENCEPHALOGRAPHY","70"
"Line(04953)","INSURANCE PROFESSIONAL LIABILIT","A","-60188","OTHER ADMIN AND GENERAL","5"
"Line(04954)","MISCELLANEOUS","A","88428","OTHER ADMIN AND GENERAL","5"
"Line(04955)","DEPRECIATION-BLDG-BELLEFIELD TO","A","379701","OPERATION OF PLANT - WPIC","7"
"Line(04956)","DEPRECIATION-BLDG-FRANKLIN INTE","A","4135","OPERATION OF PLANT - WPIC","7"
"Line(04957)","DEPRECIATION-BLDG-IROQUOIS BUIL","A","6310","OPERATION OF PLANT - WPIC","7"
"Line(04958)","DEPRECIATION-BLDG-NEW (WPIC)","A","2404538","CAP REL COSTS - WPIC","1","9"
"Line(04959)","DEPRECIATION-BLDG-OLD (WPIC)","A","186639","CAP REL COSTS - WPIC","1","9"
"Line(04960)","DEPRECIATION-BLDG-OXFORD CENTER","A","465962","OPERATION OF PLANT - WPIC","7"
"Line(04961)","DEPRECIATION-EQMT-OLD","A","4017","CAP REL COSTS - MVBLE EQUIP WPIC","2","9"
"Line(04962)","DEPRECIATION-EQMT-NEW","A","745339","CAP REL COSTS - MVBLE EQUIP WPIC","2","9"
"Line(04963)","DEPRECIATION-BLDG-SCIENCE TOWER","A","5600","WPIC RESEARCH","191"
"Line(04964)","DEPRECIATION-BLDG-SCIENCE TOWER","A","45075","WPIC RESEARCH","191"
"Line(04965)","DEPRECIATION-BLDG-WEBSTER HALL","A","3339","OPERATION OF PLANT - WPIC","7"
"Line(04966)","STAFF DEVELOPMENT","A","30660","OTHER ADMIN AND GENERAL","5"
"Line(04967)","OERP","A","548859","OTHER ADMIN AND GENERAL","5"
"Line(04968)","SYSTEM OF CARE GRANT","A","17706","OTHER ADMIN AND GENERAL","5"
"Line(04969)","CAPITAL BUDGET","A","3728309","OTHER ADMIN AND GENERAL","5"
"Line(04970)","CONSULTING SERVICES (COST RECOV","A","-589425","PHYSICIANS PRIVATE OFFICES","192"
"Line(04971)","RESEARCH-HARD (VARIOUS)","A","15552037","WPIC RESEARCH","191"
"Line(04972)","RESEARCH-SOFT (VARIOUS)","A","28761122","WPIC RESEARCH","191"
"Line(04973)","PENSION DEFINED BENEFITS (CORPO","A","2941276","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04974)","YOUTH & FAMILY TNG INSTITUTE","A","186161","OTHER ADMIN AND GENERAL","5"
"Line(04975)","PHYSICIAN INVEST-UPP","A","5309129","PHYSICIANS PRIVATE OFFICES","192"
"Line(04976)","COAST TO COAST COLLECTION FEE E","A","77966","ADMITTING & COLLECTIONS","5"
"Line(04977)","CONTRACT REVENUE","B","-54","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(04978)","HOSPITAL ADMIN & TEACHING PHY F","A","-2385783","OTHER ADMIN AND GENERAL","5"
"Line(04979)","HOSPITAL ADMIN & TEACHING PHY F","A","-3515446","I&R SERVICES-OTHER PRGM COSTS APPRV","22"
"Line(04980)","HOSPITAL ADMIN & TEACHING PHY F","A","-9180","PARAMED ED ANESTHESIA","23"
"Line(04981)","HOSPITAL ADMIN & TEACHING PHY F","A","-27723","NURSING SCHOOL","20"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[563706] Report(A810000)", ,"Entity[563706] Report(A810000[00100])","Entity[563706] Report(A810000[00200])","Entity[563706] Report(A810000[00300])","Entity[563706] Report(A810000[00400])","Entity[563706] Report(A810000[00500])","Entity[563706] Report(A810000[00600])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE-PUH/SHY","8703443", ,"8703443"
"Line(00200)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE-WPIC","1544876", ,"1544876"
"Line(00300)", ,"5","INFORMATION SYSTEMS","HOME OFFICE-PUH/SHY","44400787", ,"44400787"
"Line(00301)", ,"5","INFORMATION SYSTEMS","HOME OFFICE-WPIC","11769738", ,"11769738"
"Line(00302)", ,"5","PURCHASING","HOME OFFICE-PUH/SHY","3990724", ,"3990724"
"Line(00303)", ,"5","PURCHASING","HOME OFFICE-WPIC","132778", ,"132778"
"Line(00304)", ,"5","ADMITTING & COLLECTIONS","HOME OFFICE-PUH/SHY","4973343", ,"4973343"
"Line(00305)", ,"5","ADMITTING & COLLECTIONS","HOME OFFICE-WPIC","562426", ,"562426"
"Line(00306)", ,"5","OTHER ADMIN AND GENERAL","HOME OFFICE-PUH/SHY","33372874", ,"33372874"
"Line(00307)", ,"5","OTHER ADMIN AND GENERAL","HOME OFFICE-WPIC","5003787", ,"5003787"
"Line(00308)", ,"5","OTHER ADMIN AND GENERAL","CORP ALLOC-PUH", ,"247548202","-247548202"
"Line(00309)", ,"5","OTHER ADMIN AND GENERAL","CORP ALLOC-WPIC", ,"9949344","-9949344"
"Line(00310)", ,"67","OCCUPATIONAL THERAPY","CORE-PUH","2430413","2279996","150417"
"Line(00311)", ,"66","PHYSICAL THERAPY","CORE-PUH","6152009","5774041","377968"
"Line(00312)", ,"5","PURCHASING","24275","9407","27135","-17728"
"Line(00313)", ,"5","OTHER ADMIN AND GENERAL","126799","24275","30037","-5762"
"Line(00314)", ,"5","OTHER ADMIN AND GENERAL","POB-BOARD ROOM","126799","156898","-30099"
"Line(00315)", ,"5","OTHER ADMIN AND GENERAL","POB HEALTH SCIENCE LIBRAR","104801","129678","-24877"
"Line(00316)", ,"50","OPERATING ROOM","PERFUSION SERVICES","6856","19778","-12922"
"Line(00317)", ,"194","OTHER NON REIMBURSABLE","SHY-DEPT OF ENDOCRINOLOGY","41184","54774","-13590"
"Line(00318)", ,"69","HEART CATHERIZATION","POB-CARDIOPULMONARY REHAB","93139","119952","-26813"
"Line(00319)", ,"69","HEART CATHERIZATION","CARDIO ADMINISTRATION SHY","45025","55713","-10688"
"Line(00320)", ,"90","CLINIC","POB-SENIOR CARE INSTITUTE","99376","122966","-23590"
"Line(00321)", ,"90","CLINIC","POB-SHEA MEDICAL CENTER","160657","206907","-46250"
"Line(00322)", ,"90","CLINIC","SHY-VASCULAR CLINIC HBC","86882","141602","-54720"
"Line(00323)", ,"90","CONSOLIDATED O/P TEST","POB-CONSOLIDATED OP TESTI","75953","92064","-16111"
"Line(00324)", ,"194","CTR FOR COMPLIMENTARY MED","CTR FOR COMPLIMENTARY MED","58106","142393","-84287"
"Line(00500)", , , , ,"123969658","266851480","-142881822"
"Line(00600)", ,"G","UPMC", ,"UPMC", ,"HEALTHCARE"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[563706] Report(A820010)", ,"Entity[563706] Report(A820010[00100])","Entity[563706] Report(A820010[00200])","Entity[563706] Report(A820010[00300])","Entity[563706] Report(A820010[00400])","Entity[563706] Report(A820010[00500])","Entity[563706] Report(A820010[00600])","Entity[563706] Report(A820010[00700])","Entity[563706] Report(A820010[00800])","Entity[563706] Report(A820010[00900])", , , , , , ,"Entity[563706] Report(A820010[01600])","Entity[563706] Report(A820010[01700])","Entity[563706] Report(A820010[01800])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","57892", ,"57892","177200","706","60146","3007", , , , , , ,"60146"
"Line(00200)", ,"5","OTHER ADMIN AND GENERAL","7500", ,"7500","177200","46","3919","196", , , , , , ,"3919","3581","3581"
"Line(00300)", ,"5","OTHER ADMIN AND GENERAL","48000", ,"48000","177200","439","37399","1870", , , , , , ,"37399","10601","10601"
"Line(00400)", ,"5","OTHER ADMIN AND GENERAL","50000", ,"50000","177200","540","46004","2300", , , , , , ,"46004","3996","3996"
"Line(00500)", ,"5","OTHER ADMIN AND GENERAL","94129", ,"94129","208000","221","22100","1105", , , , , , ,"22100","72029","72029"
"Line(00600)", ,"5","OTHER ADMIN AND GENERAL","559549", ,"559549","177200","8278","705222","35261", , , , , , ,"705222"
"Line(00700)", ,"16","LAB INFORMATION","1484717", ,"1484717","215700","9412","976043","48802", , , , , , ,"976043","508674","508674"
"Line(00800)", ,"18","CLINICAL SUPPORT","263534", ,"263534","225300","1952","211435","10572", , , , , , ,"211435","52099","52099"
"Line(00900)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","27079", ,"27079","208000","157","15700","785", , , , , , ,"15700","11379","11379"
"Line(01000)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","101396", ,"101396","177200","510","43448","2172", , , , , , ,"43448","57948","57948"
"Line(01100)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","105881", ,"105881","208000","203","20300","1015", , , , , , ,"20300","85581","85581"
"Line(01200)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","138576", ,"138576","177200","1134","96608","4830", , , , , , ,"96608","41968","41968"
"Line(01300)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","169000", ,"169000","138700","560","37342","1867", , , , , , ,"37342","131658","131658"
"Line(01400)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","215321", ,"215321","208000","729","72900","3645", , , , , , ,"72900","142421","142421"
"Line(01500)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","617474", ,"617474","208000","1724","172400","8620", , , , , , ,"172400","445074","445074"
"Line(01600)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","671271", ,"671271","177200","3339","284457","14223", , , , , , ,"284457","386814","386814"
"Line(01700)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","867317", ,"867317","177200","5074","432266","21613", , , , , , ,"432266","435051","435051"
"Line(01800)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","4268445", ,"4268445","208000","14463","1446300","72315", , , , , , ,"1446300","2822145","2822145"
"Line(01900)", ,"31","INTENSIVE CARE UNIT","24500", ,"24500","208000","110","11000","550", , , , , , ,"11000","13500","13500"
"Line(02000)", ,"32","CORONARY CARE UNIT","6500", ,"6500","177200","34","2897","145", , , , , , ,"2897","3603","3603"
"Line(02100)", ,"32","CORONARY CARE UNIT","385489", ,"385489","177200","3256","277386","13869", , , , , , ,"277386","108103","108103"
"Line(02200)", ,"41","SUBPROVIDER - IRF","108061", ,"108061","177200","1341","114243","5712", , , , , , ,"114243"
"Line(02300)", ,"50","OPERATING ROOM","151250", ,"151250","208000","819","81900","4095", , , , , , ,"81900","69350","69350"
"Line(02400)", ,"53","ANESTHESIOLOGY","21000", ,"21000","200300","576","55468","2773", , , , , , ,"55468"
"Line(02500)", ,"53","ANESTHESIOLOGY","2283224", ,"2283224","200300","10230","985129","49256", , , , , , ,"985129","1298095","1298095"
"Line(02600)", ,"55","RADIOLOGY-THERAPEUTIC","1305195", ,"1305195","225300","6386","691714","34586", , , , , , ,"691714","613481","613481"
"Line(02700)", ,"69","ELECTROCARDIOLOGY","41250", ,"41250","177200","421","35866","1793", , , , , , ,"35866","5384","5384"
"Line(02800)", ,"69","HEART CATHERIZATION","6750", ,"6750","208000","33","3300","165", , , , , , ,"3300","3450","3450"
"Line(02900)", ,"69","HEART CATHERIZATION","714692", ,"714692","177200","4600","391885","19594", , , , , , ,"391885","322807","322807"
"Line(03000)", ,"69","CARDIO - PULMONARY REHAB","12000", ,"12000","177200","171","14568","728", , , , , , ,"14568"
"Line(03100)", ,"76","ACUTE RENAL DIALYSIS","153527", ,"153527","177200","1628","138693","6935", , , , , , ,"138693","14834","14834"
"Line(03200)", ,"76","CLINICAL GI LAB","308356", ,"308356","177200","3060","260688","13034", , , , , , ,"260688","47668","47668"
"Line(03300)", ,"90","FALK CLINIC","1839444", ,"1839444","165600","21942","1746921","87346", , , , , , ,"1746921","92523","92523"
"Line(03400)", ,"90","KAUFMANN CLINIC","227847", ,"227847","177200","1713","145934","7297", , , , , , ,"145934","81913","81913"
"Line(03500)", ,"90","BENEDUM GERIATRICS","144602", ,"144602","177200","2074","176689","8834", , , , , , ,"176689"
"Line(03600)", ,"90","UPP FAMILY PRACTICE","3894", ,"3894","165600","21","1672","84", , , , , , ,"1672","2222","2222"
"Line(03700)", ,"91","EMERGENCY","981369", ,"981369","177200","5742","489174","24459", , , , , , ,"489174","492195","492195"
"Line(03800)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","592280","592280", , , , , , , , , , , , , ,"592280"
"Line(03900)", ,"5","OTHER ADMIN AND GENERAL","5990461","5990461", , , , , , , , , , , , , ,"5990461"
"Line(04000)", ,"13","NURSING ADMINISTRATION","482784","482784", , , , , , , , , , , , , ,"482784"
"Line(04100)", ,"16","LAB INFORMATION","4675317","4675317", , , , , , , , , , , , , ,"4675317"
"Line(04200)", ,"17","SOCIAL SERVICE","152633","152633", , , , , , , , , , , , , ,"152633"
"Line(04300)", ,"18","CLINICAL SUPPORT","123471","123471", , , , , , , , , , , , , ,"123471"
"Line(04400)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","95729630","95729630", , , , , , , , , , , , , ,"95729630"
"Line(04500)", ,"30","ADULTS & PEDIATRICS","13700","13700", , , , , , , , , , , , , ,"13700"
"Line(04600)", ,"31","INTENSIVE CARE UNIT","17000","17000", , , , , , , , , , , , , ,"17000"
"Line(04700)", ,"32","CORONARY CARE UNIT","321969","321969", , , , , , , , , , , , , ,"321969"
"Line(04800)", ,"41","SUBPROVIDER - IRF","589870","589870", , , , , , , , , , , , , ,"589870"
"Line(04900)", ,"44","SKILLED NURSING FACILITY","40583","40583", , , , , , , , , , , , , ,"40583"
"Line(05000)", ,"50","OPERATING ROOM","1080646","1080646", , , , , , , , , , , , , ,"1080646"
"Line(05100)", ,"53","ANESTHESIOLOGY","40207699","40207699", , , , , , , , , , , , , ,"40207699"
"Line(05200)", ,"55","RADIOLOGY-THERAPEUTIC","388","388", , , , , , , , , , , , , ,"388"
"Line(05300)", ,"65","PULMONARY FUNCTION LAB","23276","23276", , , , , , , , , , , , , ,"23276"
"Line(05400)", ,"66","PHYSICAL THERAPY","479367","479367", , , , , , , , , , , , , ,"479367"
"Line(05500)", ,"69","HEART CATHERIZATION","19086797","19086797", , , , , , , , , , , , , ,"19086797"
"Line(05600)", ,"70","PUH MEG","295728","295728", , , , , , , , , , , , , ,"295728"
"Line(05700)", ,"76","ACUTE RENAL DIALYSIS","103971","103971", , , , , , , , , , , , , ,"103971"
"Line(05800)", ,"90","FALK CLINIC","1007283","1007283", , , , , , , , , , , , , ,"1007283"
"Line(05900)", ,"90","KAUFMANN CLINIC","53468","53468", , , , , , , , , , , , , ,"53468"
"Line(06000)", ,"90","BENEDUM GERIATRICS","106453","106453", , , , , , , , , , , , , ,"106453"
"Line(06100)", ,"90","UPP FAMILY PRACTICE","706256","706256", , , , , , , , , , , , , ,"706256"
"Line(06200)", ,"90","HILLMAN CANCER CENTER","12959456","12959456", , , , , , , , , , , , , ,"12959456"
"Line(06300)", ,"90","OUTPATIENT DENTAL","200","200", , , , , , , , , , , , , ,"200"
"Line(06400)", ,"90","HBC CLINICS","22135953","22135953", , , , , , , , , , , , , ,"22135953"
"Line(06500)", ,"91","EMERGENCY","1090446","1090446", , , , , , , , , , , , , ,"1090446"
"Line(06600)", ,"93","OUTPATIENT DIABETES","37161","37161", , , , , , , , , , , , , ,"37161"
"Line(06700)", ,"5","INFORMATION SYSTEMS","119768", ,"119768","154100","868","64307","3215", , , , , , ,"64307","55461","55461"
