"FILE 300.22 RECRUITING EXPENSE","A","-4527","LINCOLN HOSPITAL","194", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-101731","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-79","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-680","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-8","CENTRAL SERVICES & SUPPLY","14", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-76","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-69","MEDICAL RECORDS & LIBRARY","16", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-50","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-9516","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-75","PARAMED PHARMACY","23", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-115","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-410","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-77","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-15","PROGRESSIVE INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-175","PEDIATRIC INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-152","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-100","BONE MARROW TRANSPLANT","50", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-65","RECOVERY ROOM","51", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-72","ANESTHESIOLOGY","53", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-30","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-51","MRI","58", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-446","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-2189","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-52","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-23","ASC (NON-DISTINCT PART)","75", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-130","ENDOSCOPY","76", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-25","CARDIAC REHABILITATION","77", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-7","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-112","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-128","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-1262","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-5815","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-412","CLINIC - DENTISTRY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-20","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-655","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-222","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-217","CMC ORTHOPEDICS","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-32","INFUSION CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-100","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-211","CHF CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-255","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-1596","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-707","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-43","HEART ACQUISITION","106", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-42","LIVER ACQUISITION","107", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-7401","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-903","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-10","MERCY HOSPITAL SOUTH","194", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-26","UNION REGIONAL MEDICAL CENTER","194", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-508","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-15","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.22 MEDICARE NON-REIMB EXP","A","-907675","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-8500945","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-15121","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-3570","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-25138","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-21693","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-9359","PEDIATRIC INTENSIVE CARE UNIT","34", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-8942","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-12029","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-9971","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-73005","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-331","CLINIC - DENTISTRY","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-8120","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-24743","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-3962","CMC ORTHOPEDICS","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-4512","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-7618","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-23655","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-3859","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-21158","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-749","WOMENS INST BALLANTYNE","192", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-5332","UNIVERSITY HOSPITAL","194", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-1722","MERCY HOSPITAL SOUTH","194", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-736","UNION REGIONAL MEDICAL CENTER","194", , , , , , , , , , , , , , , 
"FILE 300.22 INTERCO MARKETING","A","-2195","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO CHAPLAIN","B","-30470","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO CHAPLAIN","B","-19530","PASTORAL CARE","23", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO CATERING","B","-3500","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO DIALYSIS","B","-208990","RENAL DIALYSIS","74", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO OFFSITE RADIOLOG","B","-603729","CT SCAN","57", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO OFFSITE RADIOLOG","B","-1149","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-10","EMPLOYEE BENEFITS DEPARTMENT","4", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-431969","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-94694","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-25870","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-1880","DELIVERY ROOM & LABOR ROOM","52", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SEMINARS & EDUC","B","-20990","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO AV & MED ARTS","B","-222502","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO FLOAT","B","-184105","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO VART","B","-202964","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO VART","B","-101825","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-1500","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-588704","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-5543","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-2061","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-102619","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL ESTATE BASE","B","-97208","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO REAL CAM","B","-23031","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO LAB","B","-9209278","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO LAB","B","-119602","CYTOLOGY","60", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO LAB","B","-480626","LAB - TISSUE TYPING","60", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO LAB","B","-332891","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-396685","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-143443","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-39335","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-16152","PASTORAL CARE","23", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-57000","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-20000","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-11075","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-589231","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-379300","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-290","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-94000","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-3904","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-85579","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-171756","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MISC SUPPORT","B","-437254","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RENT INTERFACILI","B","-49795","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RENT INTERFACILI","B","-25530","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RENT INTERFACILI","B","-12491","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RESEARCH F&A","B","-2595409","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PSG REVENUE","B","-1109842","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO ADMIN FIN","B","-211976","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO ADMIN FIN","B","-188760","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO ADMIN FIN","B","-445749","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO ADMIN FIN","B","-77561","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO ADMIN FIN","B","-215007","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PHARM SERVICES","B","-575146","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PHARM SERVICES","B","-134845","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PATIENT SERVICES","B","-96","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PATIENT SERVICES","B","-1078","POST TRANSPLANT CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PATIENT SERVICES","B","-1938","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RADIOPHARMACY","B","-935943","DRUGS CHARGED TO PATIENTS","73", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO RAD EQUIP MAINT","B","-2043083","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO VART TECH","B","-280178","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PAYROLL SERVICES","B","-2950","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO MED ED FEE","B","-41346","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO CASE MGMT SERVIC","B","-85044","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-3000","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-1275","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-1284","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-563","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-281","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO PRECEPTOR","B","-10000","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO AIR TRANSPORT","B","-982068","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO LIFE SHARE","B","-48410","OPERATING ROOM","50", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO SIMULATION","B","-374333","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO QUALITY MGMT","B","-523995","SOCIAL SERVICE","17", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO EDUC FUNDING","B","-2246508","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.35 INTERCO CALL CENTER","B","-92214","SUBPROVIDER - IPF","40", , , , , , , , , , , , , , , 
"FILE 300.37 CAFETERIA REVENUE","B","-6804976","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.37 CAFETERIA REVENUE","B","-176719","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.37 600 ROOM REVENUE","B","-27417","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.37 600 VENDING MACHINE SALE","B","-73792","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.37 MED CENTER CAF","B","-437305","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.37 CATERING REVENUE","B","239","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.37 CATERING REVENUE","B","347","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 EMPLOYEE RX COPAY REVENU","B","-568","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 RETAIL RX","B","-1487","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 DRUG SALES MEDICAID","B","-1474357","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 DRUG SALES MCARE D","B","-1335504","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 RETAIL SALES","B","-70340","GIFT  FLOWER  COFFEE SHOP & CANTEEN","190", , , , , , , , , , , , , , , 
"FILE 300.37 RETAIL SALES","B","-12630","PHYSICIANS PRIVATE OFFICES","192", , , , , , , , , , , , , , , 
"FILE 300.37 EDUCATION & RESEARCH","B","-116","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 EDUCATION & RESEARCH","B","9","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.37 EDUCATION & RESEARCH","B","1050","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 EDUCATION & RESEARCH","B","-656952","UNDERGRAD MEDED","194", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-81474","MEDICAL RECORDS & LIBRARY","16", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-15","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-91954","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-15","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-105","TEEN HEALTH CONNECTION","90", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-3324","PAIN MANAGEMENT","90", , , , , , , , , , , , , , , 
"FILE 300.37 MEDICAL RECORDS REQUESTS","B","-60","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.37 RADIOPHARM REVENUE","B","-19462","RADIOISOTOPE","56", , , , , , , , , , , , , , , 
"FILE 300.37 FITNESS REVENUE","B","-1375","RESPIRATORY THERAPY","65", , , , , , , , , , , , , , , 
"FILE 300.37 FITNESS REVENUE","B","-130043","CARDIAC REHABILITATION","77", , , , , , , , , , , , , , , 
"FILE 300.37 FITNESS REVENUE","B","-900","DIABETES CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.37 FITNESS REVENUE","B","-1950","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.37 FITNESS REVENUE","B","-1109","OTHER NONREIMBURSABLE COST CENTERS","194", , , , , , , , , , , , , , , 
"FILE 300.37 PHYSICIST REVENUE","B","-19524","RESEARCH","191", , , , , , , , , , , , , , , 
"FILE 300.37 RENTAL INCOME","B","-22257","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 RENTAL INCOME","B","-10000","DIETARY","10", , , , , , , , , , , , , , , 
"FILE 300.37 RENTAL INCOME","B","-111850","VOLUNTEERS","18", , , , , , , , , , , , , , , 
"FILE 300.37 RENTAL INCOME","B","-34961","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-783640","ADMINISTRATIVE & GENERAL","5", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-1300","NURSING ADMINISTRATION","13", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-45815","CENTRAL SERVICES & SUPPLY","14", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-182219","PHARMACY","15", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-15","VOLUNTEERS","18", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-374467","NURSING SCHOOL","20", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-106929","I&R SERVICES-OTHER PRGM COSTS APPRV","22", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-33918","PARAMED CRNA","23", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-20300","PASTORAL CARE","23", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-1854","ADULTS & PEDIATRICS","30", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-3","INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-525","NEONATAL INTENSIVE CARE UNIT","31", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-140900","RADIOLOGY-DIAGNOSTIC","54", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-450","RADIOLOGY-THERAPEUTIC","55", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-1350","CARDIAC CATHETERIZATION","59", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-155027","LABORATORY","60", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-212","PHYSICAL THERAPY","66", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-233920","CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-25","MENTAL HEALTH O/P CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-975","CLINIC - CHILD OP RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-27270","CLINIC - ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-662999","CLINIC - MYERS PARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-2400","CLINIC - DENTISTRY","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-6066","CLINIC - PED RESP CTR","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-300125","CLINIC - NORTHPARK","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-248429","TEEN HEALTH CONNECTION","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-25","WOMENS INSTITUTE","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-15050","DIABETES CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-86744","POST TRANSPLANT CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-64","CMC SURGERY","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-103","CMC ORTHOPEDICS","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-300","INFUSION CENTER","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-54392","PEDIATRIC ONCOLOGY","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-111","NEUROSCIENCE CLINIC","90", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-59412","EMERGENCY","91", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-26","EMERGENCY-SUBPROVIDER","91", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-126835","AMBULANCE SERVICES","95", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-39","KIDNEY ACQUISITION","105", , , , , , , , , , , , , , , 
"FILE 300.37 MISC OTHER OPER REVENUE","B","-58163","RESEARCH","191", , , , , , , , , , , , , , , 
